timeseries,n_dim,n_points,detector,window_size,hidden_layer,train_loss,test_loss
generate_ar1_time_series,5,5000,ADWIN,32,[16],0.3320142367128395,0.7792379013132545
generate_ar1_time_series,5,5000,ADWIN,32,[32],0.31734150606938544,0.7304914781306988
generate_ar1_time_series,5,5000,ADWIN,32,[64],0.30421912069980434,0.7008671794275879
generate_ar1_time_series,5,5000,PageHinkley,16,[16],0.3159476049475563,0.6745519716486044
generate_ar1_time_series,5,5000,PageHinkley,16,[32],0.31690892932631626,0.6655243371458835
generate_ar1_time_series,5,5000,PageHinkley,16,[64],0.305210892140827,0.6314701872685609
generate_ar1_time_series,5,5000,PageHinkley,32,[16],0.3254265906585379,0.7528646885859891
generate_ar1_time_series,5,5000,PageHinkley,32,[32],0.31181280582449244,0.7300673011365336
generate_ar1_time_series,5,5000,PageHinkley,32,[64],0.299908874594248,0.693432358306234
generate_var_time_series,5,2000,ADWIN,16,[16],0.02040076501217495,0.02148358189016836
generate_ar1_time_series,3,2000,ADWIN,16,[16],0.23571493746198358,0.7687182553239506
generate_ar1_time_series,3,2000,ADWIN,16,[32],0.23914499289849586,0.7503296212128668
generate_ar1_time_series,3,2000,ADWIN,16,[64],0.2267929366955795,0.7191328583924199
generate_ar1_time_series,3,2000,ADWIN,32,[16],0.2429692046194718,0.8279970212571809
generate_ar1_time_series,3,2000,ADWIN,32,[32],0.23237663836630235,0.8021129890225132
generate_ar1_time_series,3,2000,ADWIN,32,[64],0.21733417940121139,0.788361269739215
generate_ar1_time_series,3,2000,PageHinkley,16,[16],0.23425189167895305,0.7703870671671874
generate_ar1_time_series,3,2000,PageHinkley,16,[32],0.23870644562308516,0.7746710281573096
generate_ar1_time_series,3,2000,PageHinkley,16,[64],0.2245257718473675,0.7139692346870541
generate_ar1_time_series,3,2000,PageHinkley,32,[16],0.2402767816095374,0.7899066821328731
generate_ar1_time_series,3,2000,PageHinkley,32,[32],0.23215330014250973,0.7890660390356388
generate_ar1_time_series,3,2000,PageHinkley,32,[64],0.21480781842080213,0.7673695876412554
generate_ar1_time_series,3,5000,ADWIN,16,[16],0.30655878553491833,0.5581469294666586
generate_ar1_time_series,3,5000,ADWIN,16,[32],0.31135376556670846,0.5874121080194138
generate_ar1_time_series,3,5000,ADWIN,16,[64],0.3020851445151643,0.5549509434408771
generate_ar1_time_series,3,5000,ADWIN,32,[16],0.3198011075231449,0.6728781669361114
generate_ar1_time_series,3,5000,ADWIN,32,[32],0.3063290032581245,0.6186667679242114
generate_ar1_time_series,3,5000,ADWIN,32,[64],0.30184459904435673,0.6146513295216116
generate_ar1_time_series,3,5000,PageHinkley,16,[16],0.31073676048355653,0.5946187061422196
generate_ar1_time_series,3,5000,PageHinkley,16,[32],0.31442440767685964,0.608333785853971
generate_ar1_time_series,3,5000,PageHinkley,16,[64],0.30183940351403915,0.5579222878274794
generate_ar1_time_series,3,5000,PageHinkley,32,[16],0.3185420675013958,0.6664148635648689
generate_ar1_time_series,3,5000,PageHinkley,32,[32],0.3086494091466061,0.6336852185336566
generate_ar1_time_series,3,5000,PageHinkley,32,[64],0.2985626512076237,0.5986165264811831
generate_ar1_time_series,5,2000,ADWIN,16,[16],0.2251307086199044,0.6888461564036524
