stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;16;[32, 32];1.4236416105723055;0.9530535677727583;0.9524195206226518
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;16;[64, 64];1.5385905310630166;0.991573166787367;0.9907683316611795
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;32;[16];1.2455854431786244;0.8902666981314283;0.8904415690450441
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;32;[32, 32];1.3138801431483802;0.9149551927658928;0.9146840698255707
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;32;[64, 64];1.4087758152556473;0.9485063061829815;0.948126450863172
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;64;[16];1.242710607034191;0.8893950576025991;0.8895018054414104
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;64;[32, 32];1.3095978249032174;0.9137825058072061;0.9139958890241495
generate_trend_drift;1;50000;ADWIN;increase_and_decay_lr;64;[64, 64];1.3370759096732563;0.9232381919848415;0.9231633188676546
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;16;[16];1.5085889015497904;0.9821388071124736;0.9815519861054157
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;16;[32, 32];1.6254330895078932;1.018924950178912;1.0181324227124116
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;16;[64, 64];1.6022758761350844;1.0121740240043602;1.0114224348685295
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;32;[16];1.33255963692243;0.9217777960904384;0.9215237202396867
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;32;[32, 32];1.4918696365063564;0.9759020130329009;0.9753260519737249
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;32;[64, 64];1.537299263493034;0.990075386924562;0.9894986392800725
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;64;[16];1.3253840426760677;0.9198502937439764;0.9198354029183797
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;64;[32, 32];1.404379284890163;0.9471911972072435;0.9471174220650617
generate_trend_drift;1;50000;PageHinkley;increase_lr_only;64;[64, 64];1.4672748257045225;0.9676846915827055;0.967419754093091
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;16;[16];1.2627882266953285;0.8972444130400523;0.8971817902812231
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;16;[32, 32];1.3969689831727745;0.9440602539317656;0.9434051020021721
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;16;[64, 64];1.5471359738865031;0.9938890962580594;0.9931223510690234
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;32;[16];1.2630324165708333;0.8961233800347961;0.8962758305411591
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;32;[32, 32];1.3076222609475767;0.9125456317629588;0.9123571244051446
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;32;[64, 64];1.4124895766671295;0.9489629749708622;0.9485301853184718
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;64;[16];1.2741117682392984;0.9002105766214474;0.9004111618874251
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;64;[32, 32];1.2958515800680661;0.9087593585026864;0.9086740960654089
generate_trend_drift;1;50000;PageHinkley;increase_and_decay_lr;64;[64, 64];1.3766612530239186;0.9370920261729959;0.9369301664094223
generate_trend_drift;3;20000;ADWIN;increase_lr_only;16;[16];1.3410547627283436;0.9248195515273834;0.9240524863468758
generate_trend_drift;3;20000;ADWIN;increase_lr_only;16;[32, 32];1.3348016212654559;0.9214261228828259;0.9208223978139526
generate_trend_drift;3;20000;ADWIN;increase_lr_only;16;[64, 64];1.456113659996459;0.9643909858492158;0.963307172817225
generate_trend_drift;3;20000;ADWIN;increase_lr_only;32;[16];1.321408459824916;0.9160505853228904;0.9158745036275389
generate_trend_drift;3;20000;ADWIN;increase_lr_only;32;[32, 32];1.3111258579335856;0.9134651572631091;0.9130781297940885
generate_trend_drift;3;20000;ADWIN;increase_lr_only;32;[64, 64];1.3901571918807651;0.9398500728511601;0.9394606070978065
generate_trend_drift;3;20000;ADWIN;increase_lr_only;64;[16];1.5006662290797728;0.9766066673025791;0.9760287548119653
generate_trend_drift;3;20000;ADWIN;increase_lr_only;64;[32, 32];1.3475009811068144;0.9258408098523921;0.9257198336370137
generate_trend_drift;3;20000;ADWIN;increase_lr_only;64;[64, 64];1.4168357172810322;0.9481750352846743;0.9481511717449379
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;16;[16];1.2737779712697783;0.8995669495210801;0.899837064454716
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;16;[32, 32];1.3188036526987794;0.9169673241347278;0.9163690307447903
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;16;[64, 64];1.3466556554629932;0.9270071016614685;0.9263437595427203
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;32;[16];1.2722603093073899;0.899712835954925;0.8996802241990502
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;32;[32, 32];1.3012025433465215;0.9101914077919193;0.9098722991820511
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;32;[64, 64];1.2976966606496898;0.9091645150654429;0.9089366314325068
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;64;[16];1.4125666661554035;0.9463794648378533;0.9467643500248906
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;64;[32, 32];1.299618861838986;0.9095791060947097;0.9093799885799831
generate_trend_drift;3;20000;ADWIN;increase_and_decay_lr;64;[64, 64];1.3827104532256635;0.9368094749274576;0.9367724119801071
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;16;[16];1.3392369229177878;0.9232629940237607;0.9226096356395719
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;16;[32, 32];1.3946790698852933;0.9432843185145016;0.9424960266326549
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;16;[64, 64];1.4054760749247324;0.9468610125398256;0.9459123768608083
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;32;[16];1.3602875229510936;0.9304880015145953;0.9299948455705956
