stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae;end_budget;max_budget
eth;1;17464;ADWIN;increase_and_decay_lr;32;64;246139.30964945373;206.36105002951845;224.49024415421016;85.69328233899996;139.07763634164536
eth;1;17464;ADWIN;increase_and_decay_lr;64;64;576655.2474306066;482.2820665816236;497.44701486170976;67.63299223479403;125.13304297764516
eth;1;17464;ADWIN;increase_and_decay_lr;64;64;359345.3429139935;306.456718498493;323.5922599704786;42.08840442259586;111.45422456070072
eth;1;17464;ADWIN;increase_and_decay_lr;64;64;245957.67383379146;208.41827530608913;226.60862002317933;51.37896138938502;115.76204225738672
eth;1;17464;PageHinkley;increase_lr_only;16;64;278812.8819109676;232.00409403333276;249.87356096885992;36.211596086129475;119.82434192548617
eth;1;17464;PageHinkley;increase_lr_only;16;64;196097.15152990146;167.07071154444756;185.60831703980108;74.70073694060198;156.63578471872745
eth;1;17464;PageHinkley;increase_lr_only;16;64;135108.2464772933;121.06225645737729;139.99331354056406;57.49193016389293;128.92172836097362
eth;1;17464;PageHinkley;increase_lr_only;32;64;280739.7966695736;235.10577782880117;252.98102909909196;83.13662500061585;147.67559461914553
eth;1;17464;PageHinkley;increase_lr_only;32;64;194289.4155400879;161.83858445231238;180.47643448093058;116.36061096918128;156.10818859227945
eth;1;17464;PageHinkley;increase_lr_only;32;64;135210.5631319319;121.4316358542488;140.38134943842616;36.432817898164586;103.48322092257466
eth;1;17464;PageHinkley;increase_lr_only;64;64;281015.1725319638;233.53356631629225;251.51212937278308;58.67437865745059;121.70283459551939
eth;1;17464;PageHinkley;increase_lr_only;64;64;195932.68493160154;166.32316084514073;185.00105366323186;50.54038945789929;147.54715340070393
eth;1;17464;PageHinkley;increase_lr_only;64;64;136351.23450521397;122.13009691279986;141.18193042974363;49.47488744674851;117.24987376193991
eth;1;17464;PageHinkley;increase_and_decay_lr;16;64;533610.6870130663;450.06938173952113;465.4924573937669;66.82328435504667;114.88212163346181
eth;1;17464;PageHinkley;increase_and_decay_lr;16;64;342132.46404115594;288.3766343543976;305.6041820758748;86.75418111501932;135.9037723417742
eth;1;17464;PageHinkley;increase_and_decay_lr;16;64;237984.98779193757;200.00659654550853;218.1609001876782;64.49564030343873;140.67309193844062
eth;1;17464;PageHinkley;increase_and_decay_lr;32;64;539935.928722547;453.2827927660196;468.71238760665887;50.84702090023145;113.94474475536114
eth;1;17464;PageHinkley;increase_and_decay_lr;32;64;342748.277460601;290.36032430865407;307.6003023123949;75.25469903315333;135.73393888812413
