stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae;end_budget;max_budget
eth;1;17464;PageHinkley;increase_and_decay_lr;64;[32, 32];4145.370057006542;28.340480465797775;30.012234640888785;269.2466531416436;287.79045119663675
eth;1;17464;PageHinkley;increase_and_decay_lr;64;[64, 64];2739.963083957825;29.352934000873404;30.000424534589396;205.73850676124547;205.73850676124547
btc;1;17465;None;Baseline;16;[16];1130924.4188184864;518.7035241168478;551.8190901878331;356.3215930667943;356.3215930667943
btc;1;17465;None;Baseline;16;[32, 32];1223802.2982571428;571.5924393115941;597.4160507720715;202.27170751190184;243.68294540015557
btc;1;17465;None;Baseline;16;[64, 64];913838.193899044;552.7057241847826;563.7707053188936;278.8882241223905;278.8882241223905
btc;1;17465;None;Baseline;32;[16];1491072.4464227885;533.9968506794346;574.1450518816683;210.26338119955196;245.82481763275467
btc;1;17465;None;Baseline;32;[32, 32];1005756.9563653499;540.2123835876755;557.4325745017532;340.22526323260274;359.71290666575186
btc;1;17465;None;Baseline;32;[64, 64];940399.9323473565;564.5128836665531;576.6159664747713;143.16251515796927;150.2640374044647
btc;1;17465;None;Baseline;64;[16];753833.5914898963;529.5750112632252;536.2680136243965;430.650033602101;430.650033602101
btc;1;17465;None;Baseline;64;[32, 32];939298.4926206177;524.5470630231949;540.9204080517104;291.9148173723958;292.9892980177304
btc;1;17465;None;Baseline;64;[64, 64];981236.8834461534;558.0935348406072;573.3495646465182;107.806753639661;121.08232119055874
eth;1;17464;None;Baseline;16;[16];4019.12408287788;33.877437329926735;35.152661627446335;71.51674311700357;183.77879434321954
eth;1;17464;None;Baseline;16;[32, 32];4337.7939377540115;29.047205076030224;30.946272516403653;112.3882074278848;225.61571260973741
eth;1;17464;None;Baseline;16;[64, 64];4576.87351057401;31.223654276889693;32.984312590083526;134.70221062972826;257.4367365688513
eth;1;17464;None;Baseline;32;[16];3732.086499424417;31.302045807201754;32.70469893113688;77.76551696021745;158.88845086199456
eth;1;17464;None;Baseline;32;[32, 32];5711.123459637728;28.04068809716913;30.836474481226382;223.1468002827728;397.41265277613223
eth;1;17464;None;Baseline;32;[64, 64];3419.591559113451;30.339574753300806;31.447090548077217;144.02655399348214;204.24631789704924
eth;1;17464;None;Baseline;64;[16];2246.2998491941144;27.97743999968434;28.557130218155084;160.69086819633685;283.26743621961106
eth;1;17464;None;Baseline;64;[32, 32];3165.631470292447;28.361005480695162;29.524518639575476;190.47001940388455;242.193837018035
eth;1;17464;None;Baseline;64;[64, 64];2309.459391564356;28.37869257550206;28.95744693098397;149.3155275652827;149.3155275652827
