stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae;end_budget;max_budget
btc;1;17465;PageHinkley;increase_and_decay_lr;16;64;4093264829.575563;59575.99319497283;59203.59529557568;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;32;16;4110020430.2809615;59701.56035931426;59327.580266681725;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;32;32;4110861686.520966;59707.467806643115;59333.424046595355;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;32;64;4096032088.303333;59604.00342539185;59231.12409441236;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;64;16;4117104888.9052353;59768.49436770615;59393.46101595723;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;64;32;4107776768.7576575;59703.52754369495;59329.229996322945;100;100
btc;1;17465;PageHinkley;increase_and_decay_lr;64;64;4096534222.917763;59625.09565963896;59251.68441715814;100;100
eth;1;17464;ADWIN;increase_lr_only;16;16;6606870.684297627;2483.4688059645214;2475.7381829039214;100;100
eth;1;17464;ADWIN;increase_lr_only;16;32;6104474.825502923;2384.3644565191053;2377.7539622128857;100;100
eth;1;17464;ADWIN;increase_lr_only;16;64;5151848.7819126835;2180.834280534747;2176.5300605035823;100;100
eth;1;17464;ADWIN;increase_lr_only;32;16;6614650.160487896;2484.985542038372;2477.25913258483;100;100
eth;1;17464;ADWIN;increase_lr_only;32;32;6335577.3402722;2430.598775021262;2423.490880202022;100;100
eth;1;17464;ADWIN;increase_lr_only;32;64;5335017.48482317;2221.9981687115564;2217.265217704475;100;100
eth;1;17464;ADWIN;increase_lr_only;64;16;6435171.259626437;2450.3209124761893;2443.0195468806123;100;100
eth;1;17464;ADWIN;increase_lr_only;64;32;6206855.243239943;2405.0812196360653;2398.299543400907;100;100
eth;1;17464;ADWIN;increase_lr_only;64;64;5161414.24454921;2182.863835654739;2178.592570635916;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;16;16;6756281.079328576;2512.0598334051974;2504.013880502735;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;16;32;6502563.884893684;2463.276605475487;2455.77161113279;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;16;64;6068530.836499886;2377.103987792035;2370.5734996629494;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;32;16;6639077.318423015;2489.6901944933616;2481.912040678937;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;32;32;6613394.282927949;2484.7468973895925;2477.022703810644;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;32;64;6206066.859833926;2404.814944742588;2397.9924075654912;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;64;16;6619674.733412356;2485.999159247021;2478.2882034687614;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;64;32;6674149.596846265;2496.4713648779502;2488.647288944639;100;100
eth;1;17464;ADWIN;increase_and_decay_lr;64;64;6169912.001005747;2397.708515652251;2391.003304885338;100;100
eth;1;17464;PageHinkley;increase_lr_only;16;16;6635614.882909216;2489.011028563363;2481.2225365024374;100;100
eth;1;17464;PageHinkley;increase_lr_only;16;32;6041119.94420564;2371.4958706845323;2365.0304593624514;100;100
eth;1;17464;PageHinkley;increase_lr_only;16;64;5809865.84890102;2323.6755584393027;2317.7506446121265;100;100
eth;1;17464;PageHinkley;increase_lr_only;32;16;6708478.479649495;2502.945318882252;2495.015258656012;100;100
eth;1;17464;PageHinkley;increase_lr_only;32;32;5975377.511896226;2357.9665489871927;2351.682466504332;100;100
eth;1;17464;PageHinkley;increase_lr_only;32;64;5188554.800424507;2189.0492867475486;2184.6658751166924;100;100
eth;1;17464;PageHinkley;increase_lr_only;64;16;6596266.105143678;2481.50831187339;2473.8527869283744;100;100
eth;1;17464;PageHinkley;increase_lr_only;64;32;6209951.834367816;2405.622182710012;2398.8261536065465;100;100
eth;1;17464;PageHinkley;increase_lr_only;64;64;5040489.859243894;2155.1640175424145;2151.20937991789;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;16;16;6519306.190845655;2466.6432894575637;2459.0985704550553;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;16;32;6458378.099753553;2454.687199512698;2447.2840518592857;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;16;64;6244714.961198991;2412.694636828188;2405.762509758349;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;32;16;6831828.698908617;2526.3212344627223;2518.131708251057;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;32;32;6663849.768063045;2494.424601900469;2486.5923829763624;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;32;64;6087102.494571765;2381.0030680003256;2374.453867351642;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;64;16;6807277.453857759;2521.750279247993;2513.6343807246767;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;64;32;6708475.810531609;2502.994041881536;2495.0947171266052;100;100
eth;1;17464;PageHinkley;increase_and_decay_lr;64;64;5936479.107938218;2350.0869592542767;2343.9209616825497;100;100
